index,open,high,low,close,number_ticks
2022/7/14 17:30,20554.94,20560.99,20521.82,20526.04,2312
2022/7/14 17:35,20526.04,20566.75,20525.34,20537.8,3034
2022/7/14 17:40,20537.8,20540.91,20524.73,20536.93,3091
2022/7/14 17:45,20536.15,20540.52,20525.26,20526.26,3252
2022/7/14 17:50,20525.12,20525.51,20443.84,20449.2,3632
2022/7/14 17:55,20449.2,20470.78,20428.26,20461.91,3399
2022/7/14 18:00,20461.91,20503.19,20461.2,20502.61,3396
2022/7/14 18:05,20502.62,20515.03,20455.5,20462.32,3370
2022/7/14 18:10,20462.32,20492.87,20462.02,20484.75,3427
2022/7/14 18:15,20484.75,20489.74,20462.8,20467.6,3491
2022/7/14 18:20,20468,20472.52,20434.53,20466.07,4293
2022/7/14 18:25,20466.16,20478.5,20459.52,20470.95,3852
2022/7/14 18:30,20470.89,20528.2,20465.41,20521.52,4208
2022/7/14 18:35,20521.52,20548.56,20486.75,20492.67,3950
2022/7/14 18:40,20493.01,20503.5,20489.5,20490.64,3266
2022/7/14 18:45,20490.65,20513.56,20485.21,20490.93,3617
2022/7/14 18:50,20490.64,20508.89,20490.26,20495.1,3683
2022/7/14 18:55,20495.1,20505.73,20484.2,20487.88,3741
2022/7/14 19:00,20487.54,20495.96,20481.21,20482.14,3687
2022/7/14 19:05,20482.14,20482.17,20457.91,20479.62,3496
2022/7/14 19:10,20479.62,20496.23,20479.14,20490.48,3262
2022/7/14 19:15,20490.48,20511.81,20483.32,20506.53,3400
2022/7/14 19:20,20506.7,20538.35,20506.4,20512.44,3646
2022/7/14 19:25,20512.44,20548.21,20489.97,20533.7,3640
2022/7/14 19:30,20533.7,20563.36,20523.51,20561.22,3768
2022/7/14 19:35,20560.97,20573.41,20549.35,20570.15,3356
2022/7/14 19:40,20570.36,20588.09,20565.09,20565.3,3581
2022/7/14 19:45,20565.3,20585.34,20564.96,20577.95,3261
2022/7/14 19:50,20578.15,20582.2,20554.3,20554.71,3549
2022/7/14 19:55,20554.69,20578.51,20551.14,20576.76,3443
2022/7/14 20:00,20576.77,20588.52,20539.69,20574.69,4027
2022/7/14 20:05,20574.91,20579.67,20534.12,20541.44,3720
2022/7/14 20:10,20541.43,20542.43,20488.68,20496.05,3772
2022/7/14 20:15,20496.49,20504.75,20463.94,20480.86,3576
2022/7/14 20:20,20480.99,20492.89,20437.13,20441.65,3565
2022/7/14 20:25,20441.65,20460.06,20432.88,20445.35,4047
2022/7/14 20:30,20445.4,20467.3,20436.42,20460.84,3744
2022/7/14 20:35,20460.71,20466.13,20443.4,20454.88,3592
2022/7/14 20:40,20454.87,20459.59,20383.95,20414,4069
2022/7/14 20:45,20413.37,20470.5,20391.3,20467.36,4423
2022/7/14 20:50,20467.36,20467.85,20423.05,20436.22,3625
2022/7/14 20:55,20436.17,20436.87,20383.64,20386.94,3740
2022/7/14 21:00,20386.94,20411.7,20386.02,20386.85,3563
2022/7/14 21:05,20386.45,20415.77,20384.94,20403.97,3608
2022/7/14 21:10,20403.65,20407.88,20384.61,20389.61,3530
2022/7/14 21:15,20389.61,20405.32,20373.18,20374.27,3548
2022/7/14 21:20,20374.91,20399.79,20372.72,20396.5,3819
2022/7/14 21:25,20396.5,20415.68,20389.3,20403.1,3370
2022/7/14 21:30,20402.8,20443.11,20402.36,20427.4,3565
2022/7/14 21:35,20427.4,20442.74,20421.79,20440.43,3531
2022/7/14 21:40,20440.43,20461.38,20426.03,20454.35,3521
2022/7/14 21:45,20454.35,20484.5,20449.29,20479.55,3779
2022/7/14 21:50,20479.55,20485.92,20461.98,20483.21,3866
2022/7/14 21:55,20483.23,20636.64,20481.05,20618.53,4680
2022/7/14 22:00,20618.88,20774.97,20618.53,20718.7,5513
2022/7/14 22:05,20718.77,20719.99,20655.13,20678.64,4559
2022/7/14 22:10,20678.63,20741,20607.89,20737.42,4538
2022/7/14 22:15,20737.32,20806.26,20697.2,20774.91,5082
2022/7/14 22:20,20774.52,20775.18,20702.73,20735.42,4485
2022/7/14 22:25,20735.42,20737.9,20653.77,20667.76,4356
2022/7/14 22:30,20668.07,20697.41,20600.38,20601.29,4543
2022/7/14 22:35,20602.86,20614.87,20563.59,20594.35,4360
2022/7/14 22:40,20594.35,20617.6,20588.17,20590.14,3700
2022/7/14 22:45,20590.21,20601.64,20524.55,20526.41,4355
2022/7/14 22:50,20526.1,20556.64,20429.45,20443.98,4882
2022/7/14 22:55,20443.98,20499.16,20432.83,20478.03,4412
2022/7/14 23:00,20478.05,20497.55,20460,20495.28,4157
2022/7/14 23:05,20495.28,20534.75,20479.5,20526.49,3902
2022/7/14 23:10,20526.49,20554.39,20506.65,20525.69,3762
2022/7/14 23:15,20525.79,20534.78,20494.82,20502.76,3941
2022/7/14 23:20,20502.55,20502.55,20438.78,20490.3,4111
2022/7/14 23:25,20490.3,20521.62,20490.14,20497.33,3311
2022/7/14 23:30,20497.34,20513.99,20484.21,20496.59,3375
2022/7/14 23:35,20496.75,20530,20496.74,20521.4,3411
2022/7/14 23:40,20521.29,20535.84,20510.87,20524.18,3367
2022/7/14 23:45,20524.88,20565.9,20524.88,20537.92,3978
2022/7/14 23:50,20537.92,20544.14,20508.89,20536.16,3588
2022/7/14 23:55,20536.16,20615.77,20534.13,20598.92,3988
2022/7/15 0:00,20599.41,20626.11,20572.35,20580.36,3932
2022/7/15 0:05,20580.61,20666.75,20567.17,20666.25,3992
2022/7/15 0:10,20666.25,20670.02,20644.56,20670.02,4050
2022/7/15 0:15,20670.02,20671.96,20623.89,20635.74,4013
2022/7/15 0:20,20635.96,20661.39,20626.09,20640,3704
2022/7/15 0:25,20640.12,20674.81,20637.29,20674.81,4097
2022/7/15 0:30,20675.17,20686.3,20543.29,20551.52,4198
2022/7/15 0:35,20551.52,20583.42,20545.98,20569.61,3669
2022/7/15 0:40,20569.61,20570.51,20527.18,20529.75,3924
2022/7/15 0:45,20529.69,20573.48,20529.69,20560.96,3557
2022/7/15 0:50,20561.1,20561.4,20508.51,20511.45,4070
2022/7/15 0:55,20511.45,20542.81,20487.43,20530.85,3853
2022/7/15 1:00,20530.85,20542.87,20516.18,20528.78,3799
2022/7/15 1:05,20528.89,20551.75,20523.12,20538.21,3789
2022/7/15 1:10,20537.46,20549.52,20523.94,20527.99,3897
2022/7/15 1:15,20527.99,20558.02,20527.01,20555.46,3858
2022/7/15 1:20,20555.46,20573.2,20552.72,20571.44,3646
2022/7/15 1:25,20572.3,20589.29,20570.29,20581.23,3356
2022/7/15 1:30,20581.18,20581.18,20512.91,20528.34,3642
2022/7/15 1:35,20528.34,20635.44,20528.09,20594.26,4310
2022/7/15 1:40,20594.26,20611.12,20570.72,20573.24,3880
2022/7/15 1:45,20572.94,20613.13,20572.94,20605.73,3867
2022/7/15 1:50,20605.93,20657.14,20594.47,20628.02,4336
2022/7/15 1:55,20627.73,20657.32,20614.67,20652.16,3636
2022/7/15 2:00,20652.45,20658.23,20633.16,20633.51,3748
2022/7/15 2:05,20633.51,20634.41,20591.53,20620.06,3728
2022/7/15 2:10,20620.46,20652.32,20611.38,20644.21,3616
2022/7/15 2:15,20644.46,20656.59,20624.79,20652.12,3890
2022/7/15 2:20,20652.19,20652.19,20610.24,20641.1,3635
2022/7/15 2:25,20641.35,20679.25,20623.05,20668.84,3565
2022/7/15 2:30,20668.84,20674.71,20638.75,20653.25,3741
2022/7/15 2:35,20653.64,20677.76,20628.24,20640.75,3768
2022/7/15 2:40,20640.78,20654.19,20618.26,20625.35,3908
2022/7/15 2:45,20625.54,20625.77,20588.24,20591.91,3927
2022/7/15 2:50,20591.71,20603.03,20585.05,20591.64,3548
2022/7/15 2:55,20591.7,20612.78,20590.31,20590.31,3817
2022/7/15 3:00,20590.67,20630.3,20580.13,20629.5,4193
2022/7/15 3:05,20629.5,20731.43,20555.23,20686.75,4655
2022/7/15 3:10,20686.62,20710.69,20659.39,20675.11,4657
2022/7/15 3:15,20675.11,20717.5,20627.91,20717.5,4324
2022/7/15 3:20,20717.5,20828.61,20711.03,20823.99,5178
2022/7/15 3:25,20824.08,20885.45,20786.23,20847.47,5102
2022/7/15 3:30,20846.72,20910.67,20791.59,20812.9,5003
2022/7/15 3:35,20812.89,20843.33,20799.57,20810.71,4387
2022/7/15 3:40,20810.72,20815.8,20762.83,20774.25,4179
2022/7/15 3:45,20774.25,20831.92,20773.91,20831.55,3859
2022/7/15 3:50,20831.83,20831.83,20778.14,20778.27,4113
2022/7/15 3:55,20778.28,20838.15,20778.1,20822.83,3866
2022/7/15 4:00,20822.15,20823.3,20782.3,20783.82,4150
2022/7/15 4:05,20783.81,20826.1,20783.81,20816.55,3844
2022/7/15 4:10,20816.65,20859.02,20793.19,20793.68,3968
2022/7/15 4:15,20793.68,20802.2,20741.88,20744.38,4128
2022/7/15 4:20,20744.38,20781.15,20718.79,20775.75,4269
2022/7/15 4:25,20775.75,20854.1,20772.21,20848.83,3826
2022/7/15 4:30,20849.08,20877.75,20829.93,20863.97,3904
2022/7/15 4:35,20863.97,20896.83,20825.25,20831.52,4120
2022/7/15 4:40,20831.52,20898.02,20831.24,20893.08,4147
2022/7/15 4:45,20892.73,20908.11,20856.25,20897.04,4288
2022/7/15 4:50,20897.04,20982.04,20889.75,20972.5,4704
2022/7/15 4:55,20972.17,21006.03,20855.21,20856.69,4866
2022/7/15 5:00,20856.69,20863.96,20835.02,20851.04,3842
2022/7/15 5:05,20851.07,20879.88,20834.99,20877.27,3892
2022/7/15 5:10,20877.27,20933.75,20877.25,20884.01,4179
2022/7/15 5:15,20884.01,20988,20884.01,20976,4939
2022/7/15 5:20,20976,20998.48,20947.05,20956.89,4817
2022/7/15 5:25,20956.89,21031.59,20956.89,20979.85,4979
2022/7/15 5:30,20979.49,21015.84,20941.42,20942.63,4795
2022/7/15 5:35,20942.76,20957.95,20899.3,20915.21,4152
2022/7/15 5:40,20915.21,20916.3,20879.12,20886.25,3888
2022/7/15 5:45,20886.05,20894.04,20848.83,20866.89,4074
2022/7/15 5:50,20867,20903.17,20864.05,20877.25,4184
2022/7/15 5:55,20877.24,20919.26,20876.87,20887.18,4022
2022/7/15 6:00,20886.83,20900.66,20863.8,20882.22,3882
2022/7/15 6:05,20882.26,20906.86,20851.69,20854.61,4340
2022/7/15 6:10,20854.48,20883.5,20848.27,20868.6,3816
2022/7/15 6:15,20868.59,20881.62,20820.42,20822.23,4091
2022/7/15 6:20,20822.29,20844.95,20819.6,20823.88,3892
2022/7/15 6:25,20823.82,20857.89,20823.8,20840.89,3738
2022/7/15 6:30,20840.88,20853.76,20807.5,20817.92,3895
2022/7/15 6:35,20817.92,20824.44,20810.19,20816.71,3745
2022/7/15 6:40,20816.71,20831.5,20798.4,20816.94,3945
2022/7/15 6:45,20816.94,20887.64,20816.92,20872.58,3640
2022/7/15 6:50,20872.58,20875.92,20855.31,20859.61,3568
